id,pd_idf_score
2,2.6586815563921573
3,0.0
9,2.245330242488802
16,2.1114858296434638
17,4.085489705589249
18,4.609422632717136
20,4.480137530974065
21,4.480137530974065
23,4.721202069297057
27,3.628896088955489
34,4.037089711716857
35,17.69887618235206
37,2.623174867935248
38,4.096178628086864
48,4.868623196779203
51,0.0
65,8.969461537940015
69,0.9279555705220456
75,0.0
81,0.0
85,4.985815873897568
88,2.321471947241528
90,0.0
92,0.0
101,3.628896088955489
105,11.759322920862965
106,7.895163225281737
113,3.1997948767795883
114,4.333920978822226
117,3.2371486170761234
120,13.001626795081354
122,6.9127370225444125
123,2.289078493681327
125,2.289078493681327
127,2.507535138963879
136,2.7550938924009087
138,2.345090198589737
143,3.105614306304385
147,0.0
149,6.0217142771737695
150,0.0
157,4.766841783679335
158,4.766841783679335
162,1.1684304182673313
164,0.0
165,4.585339261659181
166,1.2164917702907154
172,0.0
177,6.93490162177637
178,1.8169516031096002
179,5.62456959987096
181,4.6848352364975225
182,1.4505178902421547
186,2.0474577952847874
191,4.143014710358354
193,4.945315081875976
195,0.0
201,2.537881466374394
202,7.398053116143275
203,2.537881466374394
205,2.956860293649281
210,5.452547093430325
214,6.311987970940511
215,6.124775833595761
223,0.0
226,3.4798185907406887
227,4.700625038230158
233,7.323799906165406
241,7.737526706732334
245,10.468207775893374
255,8.686960076622855
257,0.0
259,2.7307526794017214
261,3.8815808830209253
266,2.7307526794017214
270,0.0
272,0.0
275,4.072649203330905
276,4.072649203330905
284,12.130287890682258
290,1.1820180082266842
293,3.013636809451363
294,8.84065627265746
297,0.0
305,0.0
314,0.9279555705220456
318,1.5761730892465784
319,5.981095970213992
323,1.9740038759457856
327,1.9740038759457856
331,1.9740038759457856
334,3.8161343450832
335,3.8161343450832
340,0.0
341,12.570427271427793
343,5.89267702934475
346,11.349139259674827
347,0.0
350,3.105614306304385
351,0.0
354,1.3449208743750032
355,3.995612194393712
359,4.080362338643579
361,2.7307526794017214
363,7.325751985157752
365,2.7307526794017214
373,0.7255898749033445
374,3.793393787449326
375,0.7255898749033445
385,0.0
389,6.147497048697954
397,0.0
400,2.82414091893377
401,8.380942633778503
402,10.388476119125254
403,10.17745101955288
407,3.20810846385496
408,3.20810846385496
411,0.0
413,3.20810846385496
418,6.147497048697954
421,6.0010593295205465
422,10.388476119125254
440,6.508334117689774
444,5.797282401232457
445,5.797282401232457
446,8.660124978207875
447,9.015869256653653
452,11.539085522488243
454,11.539085522488243
455,8.915910654552995
456,3.8851592497545266
458,3.8851592497545266
459,3.8851592497545266
461,10.153173157126128
468,3.5234148712683955
469,2.623256509962814
470,7.52718001094623
473,0.7255898749033445
475,0.9279555705220456
476,3.1063594346922825
