id,all_words_in_title
2,0
3,0
9,0
16,0
17,1
18,0
20,0
21,0
23,0
27,1
34,0
35,0
37,0
38,0
48,0
51,0
65,1
69,0
75,0
81,0
85,0
88,0
90,0
92,0
101,0
105,0
106,0
113,0
114,0
117,0
120,0
122,0
123,0
125,0
127,0
136,0
138,0
143,0
147,0
149,0
150,0
157,0
158,0
162,0
164,0
165,1
166,0
172,0
177,1
178,0
179,0
181,0
182,0
186,0
191,0
193,0
195,0
201,0
202,0
203,0
205,0
210,0
214,0
215,1
223,0
226,0
227,0
233,0
241,0
245,0
255,1
257,0
259,0
261,0
266,0
270,0
272,0
275,1
276,1
284,0
290,0
293,0
294,1
297,0
305,0
314,1
318,1
319,1
323,0
327,0
331,0
334,1
335,1
340,0
341,0
343,0
346,0
347,0
350,0
351,0
354,0
355,0
359,0
361,0
363,0
365,1
373,1
374,0
375,0
385,0
389,0
397,0
400,0
401,0
402,0
403,0
407,0
408,0
411,0
413,0
418,0
421,0
422,1
440,0
444,0
445,1
446,0
447,0
452,0
454,1
455,0
456,0
458,0
459,0
461,1
468,1
469,0
470,0
473,0
475,0
476,0
478,1
479,0
480,0
481,0
485,0
491,0
492,0
497,0
500,0
501,0
508,0
511,0
516,0
517,0
524,0
533,0
536,0
542,0
544,1
549,0
551,0
557,0
559,0
562,0
563,0
568,0
571,0
572,0
573,0
576,1
581,1
582,0
583,0
584,1
585,0
591,0
593,0
595,0
600,1
605,0
606,0
611,0
619,0
626,0
630,1
634,0
635,1
636,0
637,0
640,0
642,0
643,1
644,0
646,0
652,0
653,0
659,0
660,1
661,1
662,0
663,1
666,1
668,0
669,0
670,0
671,0
674,0
677,0
679,1
680,0
682,0
686,0
687,0
688,0
690,0
691,0
696,0
700,0
712,1
713,0
715,1
718,0
722,0
726,1
731,1
734,0
737,0
739,0
740,0
742,0
743,1
745,0
748,0
749,0
751,0
753,0
756,1
758,0
759,0
760,0
763,0
764,0
765,0
771,0
773,0
778,0
784,0
787,0
790,0
791,0
800,1
801,0
811,0
812,0
817,0
818,1
819,0
824,0
826,1
828,0
831,1
832,1
837,0
843,0
844,0
847,0
852,0
857,1
862,1
867,0
868,0
869,0
872,0
876,0
878,0
881,0
882,0
885,0
886,0
893,0
894,0
895,0
898,1
899,0
902,0
908,1
909,0
910,0
912,0
918,0
922,0
923,0
928,0
929,0
934,0
940,0
944,0
954,0
958,1
962,0
963,0
969,1
974,0
978,0
984,0
991,0
1000,0
1001,0
1004,1
1007,1
1008,0
1019,0
1020,0
1022,0
1026,0
1028,0
1031,0
1038,0
1040,0
1051,0
1053,1
1056,0
1060,1
1062,1
1065,0
1068,0
1072,0
1073,0
1074,0
1076,1
1080,0
1081,1
1083,0
1084,0
1086,0
1090,0
1095,0
1097,0
1098,0
1101,0
1103,0
1104,0
1107,0
1108,0
1116,1
1121,1
1128,1
1129,0
1132,0
1134,0
1135,0
1138,0
1142,0
1145,0
1146,0
1148,0
1151,0
1155,0
1159,0
1164,0
1165,0
1168,0
1171,0
1172,1
1176,0
1177,0
1180,0
1185,0
1191,0
1192,0
1195,0
1196,0
1205,0
1206,0
1208,0
1212,0
1215,0
1216,0
1218,0
1220,0
1224,0
1227,0
1228,0
1230,0
1231,1
1237,1
1238,0
1243,1
1248,0
1252,1
1253,0
1257,0
1266,0
1267,1
1273,0
1275,0
1276,1
1279,0
1287,0
1289,0
1291,0
1296,1
1300,0
1302,0
1303,1
1316,0
1317,0
1320,0
1323,0
1326,0
1335,0
1338,0
1340,0
1344,0
1345,0
1347,0
1348,0
1349,0
1355,0
1356,0
1357,0
1359,0
1364,0
1366,0
1377,0
1387,0
1388,0
1394,0
1395,0
1397,0
1399,0
1401,0
1403,0
1405,0
1408,0
1414,0
1419,1
1422,0
1427,0
1431,0
1433,0
1434,1
1436,0
1439,0
1443,0
1444,0
1449,0
1453,0
1454,0
1458,0
1468,1
1471,0
1472,0
1473,0
1479,0
1481,0
1483,0
1486,0
1487,0
1490,0
1491,0
1492,0
1496,0
1497,0
1501,0
1504,0
1506,0
1509,0
1512,0
1528,0
1538,1
1542,0
1546,1
1548,0
1554,0
1560,0
1561,0
1562,0
1568,0
1569,0
1571,0
1572,0
1576,0
1577,1
1578,0
1587,0
1588,0
1593,0
1595,1
1609,0
1610,0
1612,0
1616,0
1617,0
1622,1
1624,0
1627,0
1633,0
1634,0
1637,1
1640,1
1643,1
1645,0
1647,0
1648,0
1653,0
1654,0
1655,0
1656,0
1657,0
1661,1
1664,0
1667,0
1669,1
1670,0
1671,0
1672,0
1673,0
1675,1
1677,0
1681,0
1691,0
1692,1
1696,0
1702,0
1703,0
1704,0
1705,0
1713,0
1715,0
1721,1
1722,0
1724,0
1726,1
1731,0
1733,0
1738,1
1740,0
1741,0
1742,0
1746,0
1749,0
1753,0
1762,0
1765,0
1771,0
1774,0
1777,0
1779,0
1780,0
1782,0
1784,1
1785,0
1786,0
1790,0
1797,1
1804,0
1805,0
1811,0
1815,0
1816,0
1818,0
1821,0
1824,1
1829,0
1830,0
1835,1
1841,0
1844,1
1845,0
1846,0
1847,0
1848,0
1851,0
1852,1
1853,0
1855,0
1858,0
1861,1
1862,0
1867,1
1868,0
1870,0
1872,0
1875,0
1881,0
1883,0
1894,0
1896,0
1899,0
1907,1
1914,0
1915,0
1918,0
1920,0
1921,1
1922,0
1923,0
1924,0
1927,0
1931,0
1933,0
1939,1
1941,0
1943,0
1956,1
1959,0
1961,0
1963,0
1964,0
1966,0
1967,0
1970,0
1977,0
1979,0
1982,0
1983,0
1987,1
1989,0
1994,0
1998,0
2000,0
2001,0
2002,0
2003,0
2006,0
2008,1
2011,0
2013,0
2019,0
2021,0
2022,0
2023,0
2024,0
2025,0
2029,0
2037,1
2039,1
2041,0
2042,0
2047,0
2050,0
2052,0
2056,0
2060,0
2062,0
2064,0
2065,0
2066,0
2070,1
2073,0
2074,0
2081,1
2082,0
2083,0
2085,0
2086,0
2088,0
2089,0
2095,0
2097,1
2098,0
2103,0
2106,0
2107,1
2109,1
2113,0
2115,0
2117,0
2118,0
2126,0
2130,0
2133,0
2136,0
2137,0
2139,0
2146,0
2148,0
2149,1
2151,0
2153,0
2154,1
2157,0
2158,1
2160,0
2163,0
2166,0
2167,0
2169,0
2173,1
2176,0
2181,0
2182,1
2188,0
2189,0
2190,0
2201,0
2204,0
2206,1
2210,0
2211,1
2218,0
2222,0
2224,0
2226,0
2237,0
2242,0
2245,0
2248,0
2251,0
2257,0
2258,0
2259,0
2270,0
2273,0
2275,0
2277,0
2279,0
2281,0
2283,0
2284,0
2288,0
2291,0
2292,0
2293,0
2297,0
2298,0
2299,0
2300,0
2303,0
2306,0
2310,0
2312,0
2315,0
2321,0
2323,0
2325,0
2326,0
2328,0
2333,0
2334,0
2339,0
2346,0
2351,0
2359,0
2365,0
2369,0
2374,0
2375,0
2381,0
2385,0
2393,0
2398,0
2403,0
2409,0
2410,0
2413,0
2416,0
2420,0
2421,0
2423,0
2424,0
2426,0
2433,0
2435,1
2439,0
2442,1
2443,0
2448,0
2449,0
2451,0
2453,0
2455,0
2456,0
2461,0
2462,0
2464,0
2465,0
2466,0
2468,1
2470,0
2471,0
2474,0
2475,0
2478,0
2484,1
2485,0
2489,0
2490,0
2500,1
2502,0
2507,1
2513,0
2514,1
2515,1
2516,0
2534,0
2535,0
2538,1
2539,0
2540,1
2545,0
2551,0
2555,0
2556,0
2562,0
2571,1
2575,0
2578,0
2581,0
2582,0
2585,0
2592,1
2598,0
2604,0
2605,0
2608,0
2616,1
2617,0
2621,0
2622,0
2626,1
2627,0
2628,0
2636,0
2642,0
2643,0
2654,0
2657,0
2660,0
2662,0
2666,0
2669,0
2670,0
2671,0
2672,0
2673,0
2675,0
2677,0
2680,0
2685,0
2686,1
2688,0
2691,0
2695,0
2696,0
2697,0
2698,0
2700,0
2704,0
2708,0
2709,0
2710,0
2712,0
2715,1
2725,0
2728,0
2729,0
2733,0
2735,0
2736,0
2737,0
2741,0
2744,1
2750,0
2752,0
2755,0
2758,0
2768,0
2777,0
2782,0
2784,0
2785,0
2786,0
2787,0
2791,0
2796,0
2798,0
2800,0
2802,0
2808,0
2816,0
2818,0
2820,0
2823,0
2826,0
2831,0
2833,0
2834,0
2835,1
2836,0
2838,0
2839,0
2841,1
2845,1
2846,1
2847,1
2853,0
2855,1
2859,1
2861,0
2865,0
2866,0
2867,0
2869,1
2870,1
2871,0
2872,0
2874,0
2875,0
2876,1
2880,0
2882,0
2883,0
2885,0
2887,0
2892,0
2894,0
2895,0
2896,1
2897,0
2898,0
2899,0
2901,0
2902,0
2905,0
2909,0
2912,0
2914,0
2915,0
2918,0
2920,0
2921,1
2924,0
2932,0
2935,0
2943,0
2944,0
2949,0
2958,0
2964,1
2966,0
2968,1
2971,0
2973,0
2974,0
2975,0
2976,0
2980,0
2984,0
2987,0
2990,0
2991,0
3002,0
3004,0
3008,0
3010,0
3012,0
3013,0
3017,0
3021,0
3026,0
3029,0
3030,0
3032,0
3036,0
3039,0
3044,0
3050,0
3055,0
3056,1
3066,0
3067,0
3069,0
3070,0
3076,0
3078,0
3079,0
3082,0
3086,0
3089,0
3092,0
3096,0
3098,0
3101,0
3104,0
3105,0
3114,0
3115,0
3116,0
3121,1
3126,1
3127,0
3128,0
3134,0
3135,0
3136,0
3138,1
3139,0
3140,0
3143,0
3144,0
3147,0
3151,0
3159,0
3161,1
3163,0
3165,0
3170,0
3171,0
3172,0
3179,0
3181,0
3187,1
3190,1
3192,0
3194,0
3199,0
3200,1
3202,1
3211,0
3213,0
3214,0
3215,0
3223,0
3225,1
3227,0
3229,0
3231,0
3232,0
3235,0
3238,0
3241,1
3246,0
3249,0
3250,0
3254,0
3256,0
3260,0
3268,0
3270,1
3272,0
3274,0
3276,0
3281,0
3285,1
3288,0
3292,0
3295,0
3301,0
3304,0
3309,0
3311,0
3312,0
3314,0
3315,0
3322,0
3323,0
3327,0
3328,1
3330,1
3331,0
3333,1
3338,0
3341,0
3342,0
3344,0
3346,0
3348,0
3354,0
3356,0
3359,0
3360,0
3366,0
3369,0
3374,0
3388,0
3389,0
3391,0
3392,1
3397,0
3400,0
3403,0
3406,0
3407,0
3410,0
3411,0
3412,0
3414,0
3416,0
3417,1
3418,0
3422,0
3430,1
3440,0
3443,0
3446,0
3447,0
3449,0
3453,0
3457,0
3460,0
3470,0
3471,1
3473,0
3475,0
3477,0
3479,0
3485,0
3486,0
3487,0
3488,0
3490,1
3491,0
3494,0
3496,0
3499,0
3506,0
3507,0
3509,0
3513,1
3515,0
3516,0
3517,0
3520,0
3521,0
3522,0
3523,0
3535,0
3536,0
3540,0
3541,0
3543,0
3552,0
3553,0
3558,0
3561,0
3564,0
3570,0
3576,0
3578,0
3579,0
3580,0
3583,0
3584,0
3590,0
3591,0
3597,0
3604,0
3606,0
3610,0
3611,0
3612,0
3614,0
3615,0
3616,0
3618,0
3624,0
3625,0
3627,0
3629,0
3632,0
3635,0
3636,0
3638,0
3639,0
3640,1
3641,0
3643,0
3647,0
3651,0
3657,0
3658,0
3661,0
3665,0
3669,0
3675,0
3678,0
3680,0
3683,1
3685,0
3690,0
3692,0
3695,0
3699,0
3700,0
3702,1
3704,0
3708,0
3710,0
3715,1
3718,0
3719,0
3720,0
3723,0
3725,0
3726,0
3727,0
3731,0
3736,0
3737,0
3739,0
3750,1
3758,0
3760,0
3763,0
3769,0
3773,0
3777,1
3778,0
3781,0
3784,0
3786,1
3791,0
3792,0
3793,0
3794,1
3796,0
3800,1
3802,0
3803,0
3807,0
3809,0
3811,0
3821,0
3822,0
3823,0
3824,0
3826,0
3828,0
3830,0
3835,0
3838,0
3844,0
3846,0
3851,0
3858,0
3859,0
3861,0
3868,0
3878,0
3882,0
3883,0
3887,0
3890,0
3893,1
3894,0
3895,0
3900,0
3901,1
3904,1
3906,0
3909,0
3913,0
3914,1
3916,0
3917,0
3918,0
3921,0
3924,1
3926,0
3929,0
3930,0
3933,0
3934,0
3935,0
3937,0
3940,0
3942,0
3947,0
3952,0
3956,0
3959,0
3960,0
3966,1
3968,0
3971,1
3977,0
3979,0
3980,0
3984,0
3985,0
3988,0
3990,0
3994,1
3997,0
4001,0
4003,0
4004,0
4006,0
4010,0
4011,0
4013,0
4015,0
4016,0
4018,0
4020,0
4022,0
4023,0
4026,0
4031,0
4035,0
4036,0
4043,0
4046,0
4048,0
4049,0
4051,0
4054,0
4056,0
4058,1
4059,0
4061,1
4064,0
4069,0
4071,0
4074,0
4078,0
4080,0
4082,0
4083,0
4085,0
4092,0
4093,0
4096,0
4097,0
4099,0
4101,0
4103,0
4106,0
4108,0
4115,0
4120,0
4121,0
4124,0
4125,0
4127,0
4129,1
4131,0
4132,0
4137,0
4138,0
4142,0
4146,0
4147,1
4148,0
4149,0
4154,0
4155,0
4160,0
4161,0
4163,0
4172,0
4176,0
4177,0
4184,0
4192,0
4193,0
4195,0
4197,0
4201,0
4202,0
4204,0
4208,0
4209,0
4210,0
4212,1
4214,0
4216,1
4217,0
4218,0
4225,0
4226,1
4230,0
4231,0
4233,0
4240,0
4243,0
4245,0
4246,0
4247,0
4253,0
4254,0
4260,0
4261,0
4262,1
4263,0
4264,0
4268,0
4278,0
4281,1
4287,0
4288,1
4296,0
4300,0
4301,0
4302,0
4303,0
4308,0
4310,0
4318,0
4319,0
4327,0
4328,0
4331,0
4332,0
4333,0
4338,0
4339,0
4343,1
4344,0
4345,0
4348,0
4351,0
4352,1
4355,0
4356,0
4365,0
4371,1
4373,0
4375,0
4376,0
4377,0
4380,0
4382,0
4387,0
4389,0
4396,0
4400,0
4401,0
4402,1
4410,0
4415,0
4416,0
4417,0
4422,1
4423,1
4426,0
4427,0
4439,0
4443,0
4444,0
4446,0
4447,0
4451,0
4452,0
4460,0
4461,0
4469,0
4481,0
4482,0
4485,0
4487,1
4491,0
4494,1
4495,1
4496,1
4498,1
4499,0
4500,0
4501,0
4502,0
4503,1
4506,0
4508,1
4510,0
4511,0
4513,0
4515,0
4519,0
4522,0
4523,0
4526,0
4527,0
4530,0
4531,0
4538,0
4540,0
4542,0
4543,0
4544,0
4550,1
4551,0
4554,1
4558,0
4559,1
4562,1
4564,0
4567,0
4569,0
4570,0
4578,0
4579,0
4590,0
4591,0
4594,0
4595,0
4596,0
4599,0
4605,0
4606,0
4607,1
4610,0
4614,0
4616,1
4621,0
4629,0
4632,0
4636,1
4643,0
4646,0
4648,0
4650,0
4655,1
4656,0
4658,0
4662,0
4663,0
4665,0
4669,0
4673,0
4680,1
4683,0
4690,0
4692,0
4693,0
4695,0
4696,0
4697,0
4710,0
4715,0
4716,1
4724,0
4726,0
4728,0
4729,0
4731,0
4733,0
4734,1
4740,0
4742,1
4745,0
4747,0
4750,0
4756,1
4760,0
4765,0
4770,0
4772,0
4775,0
4780,0
4782,0
4783,0
4793,1
4795,0
4798,0
4799,1
4800,0
4801,0
4804,0
4805,0
4806,1
4809,0
4811,1
4814,0
4820,0
4822,0
4823,0
4824,0
4825,0
4828,0
4830,0
4831,0
4834,0
4837,0
4839,0
4843,1
4844,1
4845,1
4848,1
4850,0
4852,0
4859,0
4862,0
4863,0
4864,0
4871,0
4874,1
4876,0
4878,0
4882,0
4883,0
4887,0
4890,0
4897,0
4898,1
4901,0
4903,1
4904,0
4905,0
4906,1
4912,0
4916,0
4917,0
4925,0
4926,0
4928,0
4929,0
4930,0
4932,0
4934,0
4935,0
4937,1
4945,0
4947,0
4949,0
4951,0
4952,1
4953,0
4955,0
4956,0
4958,0
4959,0
4963,0
4965,0
4973,0
4976,1
4977,0
4983,0
4985,0
4986,0
4987,0
4997,0
4998,0
4999,0
5000,0
5001,0
5002,1
5005,0
5008,0
5009,0
5012,0
5013,0
5014,0
5015,0
5016,1
5021,0
5028,0
5036,0
5037,0
5039,0
5040,0
5041,1
5056,0
5062,0
5067,0
5071,0
5074,0
